0,2
22,93
16,24
18,24
10,13
23,37
23,32
45,72
39,39
35,42
77,38
45,62
20,32
102,65
46,36
73,84
140,41
234,77
251,46
82,114
71,103
208,92
72,57
147,102
123,65
132,138
258,124
177,143
266,101
206,153
250,42
429,160
91,127
224,141
216,41
213,181
209,74
142,112
197,52
205,206
204,164
667,149
222,70
178,189
119,143
443,229
225,278
232,230
317,208
225,170
364,229
296,249
114,240
457,162
402,246
364,269
190,189
284,195
307,189
272,286
384,256
406,325
318,329
403,358
467,313
242,279
332,76
339,316
347,148
633,290
175,350
337,320
330,147
591,374
579,184
424,305
329,142
540,271
542,393
505,437
198,206
430,337
144,85
468,427
170,305
541,464
206,289
663,420
468,365
547,449
771,171
439,490
202,278
393,512
480,55
570,545
2030,242
761,536
1015,537
787,424
837,361
370,505
421,565
896,510
360,564
613,466
237,153
687,529
254,565
564,325
967,641
710,712
310,343
628,632
312,136
574,569
315,281
618,530
715,73
728,837
632,567
782,704
1025,355
1090,500
567,299
830,716
533,78
936,651
608,616
860,557
807,155
1117,565
465,618
547,477
758,79
816,629
308,632
1057,868
770,131
1261,688
603,687
946,747
47,737
717,687
344,616
625,752
205,381
654,662
557,560
460,782
696,785
803,719
567,301
521,706
992,263
1226,774
822,921
1128,773
916,195
821,811
379,893
852,684
706,504
779,824
826,859
538,790
128,892
797,856
367,600
617,892
808,319
783,757
851,529
694,578
100,929
877,899
402,859
1290,922
824,917
774,1571
314,408
648,587
936,942
864,933
663,667
711,709
483,835
968,951
472,1439
992,849
471,356
980,1021
868,506
742,1012
2086,916
1787,992
498,468
1904,986
1857,1053
1518,1037
1022,711
1037,761
1664,374
1323,900
1037,1140
832,633
88,95
1025,1234
468,542
812,1037
1069,958
1691,875
1211,642
1540,1242
338,1150
2468,1166
1746,587
3319,840
4688,191
2800,1095
1806,2514
1564,1727
1248,1786
2415,1599
2371,912
1210,1827
512,1578
3027,1519
2071,989
2963,1373
321,527
2263,1490
819,594
2462,2006
2540,1414
2270,1431
1834,555
3262,962
2778,1343
1621,1270
1548,688
1202,1306
440,1151
1545,1115
687,1005
1629,1427
189,796
2028,1684
1747,1485
1733,1362
2890,692
1812,1493
975,1386
1816,1512
747,2359
1326,1430
688,1517
1031,1755
603,1517
1204,1314
1424,633
1658,1583
1806,1914
1736,1455
717,648
1370,1335
609,281
1389,1196
592,637
1296,1600
360,1359
1565,1381
934,1301
1595,1270
290,644
3495,1564
1153,654
2737,1219
1337,588
1902,1427
1619,1416
1475,1134
1411,1277
3434,1874
2351,1508
1214,1471
208,699
1558,1446
1268,765
1836,1148
388,346
1437,1519
718,1957
1742,945
1945,1503
1576,1858
1128,1125
1967,1376
1523,1738
2054,1614
547,517
2234,1108
897,171
1585,1548
1347,755
2185,1294
3527,1649
2152,1736
994,1665
1599,1724
1826,191
2261,1467
3432,659
3615,1391
2517,796
2517,1437
2597,785
1523,1210
1187,475
3922,1638
1891,801
2618,1692
1427,1479
4045,1494
4538,730
3923,1071
