32447,27087,26524,27787,31125
115876,156999,111364,117530,110435
351545,260240,259138,248229,244644
693862,457773,486989,467148,470287
1104021,731099,742396,712171,723245
1134087,1030730,1048681,1095648,1055121
1488968,1472453,1428319,1447695,1445141
1979049,1858294,1893445,2001039,2018269
2426533,2394491,2473563,2444259,2410007
3015342,3031172,3040198,3015065,2984290
3588033,3786077,3623751,3655849,3686804
4286798,4282732,4321025,4247273,4445301
5113151,5061384,5286036,5051464,5105274
6017011,5896320,6006852,6003898,5945930
