0,1,3,2,4
22,10,16,15,32
19,6,10,20,14
19,22,51,30,40
30,49,43,18,19
32,72,62,63,242
38,23,16,73,127
39,40,79,45,151
21,58,100,25,52
44,35,98,93,658
33,50,76,34,157
63,47,92,113,224
35,32,48,61,60
103,69,53,120,438
48,38,217,156,204
84,94,127,133,202
77,77,70,70,159
73,139,130,185,280
22,24,88,22,194
87,91,207,111,316
105,76,561,121,780
123,165,3772,88,168
57,16,543,235,31
104,114,232,235,238
61,115,199,169,290
130,111,172,383,365
43,66,164,246,555
169,116,412,305,425
185,78,177,209,1016
189,186,300,426,387
186,49,277,412,512
235,229,256,396,275
139,212,142,241,184
194,120,228,261,288
267,62,85,155,123
226,183,226,428,227
244,144,412,334,296
262,150,558,388,152
111,312,367,312,122
292,200,279,227,681
151,173,437,185,222
200,142,352,256,479
179,113,402,304,296
255,220,299,384,439
94,229,141,307,455
330,226,269,439,310
798,228,24,216,286
961,219,355,415,399
477,194,250,208,577
428,211,376,394,337
77,218,180,396,497
402,238,335,565,494
193,127,316,447,521
217,208,346,545,492
169,135,261,495,288
265,269,704,476,523
301,117,523,197,441
233,210,530,443,513
91,154,237,200,301
257,226,292,1044,464
146,301,573,195,524
236,390,540,519,221
316,25,229,880,261
461,326,649,3073,716
241,151,1471,278,656
241,328,479,252,665
365,380,691,419,265
344,547,653,607,389
214,379,324,414,667
339,302,750,393,400
324,441,85,329,132
522,395,1319,2839,445
222,348,1322,612,296
382,335,489,762,382
618,120,701,335,84
383,567,577,793,389
308,643,355,1099,391
436,554,1179,327,729
393,501,264,828,761
463,479,509,1006,1055
290,198,422,259,421
298,322,640,559,827
461,511,415,166,946
409,529,778,496,709
218,444,1223,581,294
497,574,517,685,692
408,558,373,455,365
402,653,1156,1588,792
471,243,1304,966,299
300,414,1089,725,559
308,416,549,313,820
619,473,850,496,920
304,372,597,507,487
359,715,376,532,389
241,304,633,629,1058
482,764,625,629,790
464,819,334,1042,613
673,467,468,709,587
519,717,616,1054,737
798,517,786,516,757
358,479,837,721,712
406,567,887,1078,597
629,692,774,733,809
519,501,1478,1038,916
255,452,295,392,911
466,469,619,864,1284
517,565,410,100,1293
625,587,1060,663,1075
161,645,456,698,1175
1006,407,1014,625,1125
249,543,120,316,1114
824,594,804,1664,1097
423,337,364,1493,1071
793,472,674,545,531
546,684,299,362,457
617,928,791,516,883
587,575,357,427,441
453,747,678,976,1201
184,768,211,876,485
622,754,1186,1318,1303
465,523,844,825,1651
494,669,795,919,1595
681,207,214,414,630
820,621,905,1496,1226
1274,544,805,631,1392
639,862,750,764,1394
1157,513,805,737,369
1177,1064,678,1225,1941
398,726,1003,847,1349
988,585,613,660,1082
1051,155,1510,941,1118
827,630,896,1533,1317
551,418,394,1948,581
711,1036,720,1547,1332
961,928,425,673,1153
1001,1033,1298,901,1258
443,584,669,903,908
496,632,697,1298,1721
374,165,845,997,1293
688,761,717,710,2123
755,575,539,644,1237
526,1023,836,735,1148
876,721,1070,1167,334
789,1144,1391,1876,1297
858,738,532,507,723
679,779,688,878,1079
650,195,704,1220,1184
643,719,787,812,1383
271,501,277,604,714
628,659,550,673,736
374,560,115,253,352
689,836,741,903,766
382,626,486,330,502
780,1025,811,858,851
212,285,232,617,119
689,1397,706,906,684
291,839,385,2933,275
835,1431,612,1870,615
209,1038,790,293,947
884,1680,821,2378,1127
424,1071,422,1634,1382
759,1090,713,1687,897
783,1120,738,2115,974
1198,1134,893,1549,1374
634,847,698,1794,813
1031,1092,879,2060,812
88,1145,1074,1981,358
928,1595,1378,1250,945
762,3971,747,699,355
921,1393,751,1026,621
872,941,211,2171,271
730,1794,1845,1024,846
430,847,1716,16541,828
863,1046,1929,1962,868
393,1427,705,437,469
948,1477,2337,2805,1019
433,1628,1215,2947,817
813,2031,954,2034,922
218,2030,932,1920,1275
1000,1817,1753,1949,1445
863,1001,660,860,1228
1096,1622,3523,2043,619
175,1017,1317,1340,873
1513,1796,2638,2142,915
405,937,1823,2581,380
958,1213,1205,1752,866
174,1740,1101,1127,460
886,2698,1900,2357,1285
506,929,1793,1188,595
765,2077,2161,2628,2114
134,2534,3950,1910,108
1067,2044,2632,3631,2230
740,1109,1110,1069,1129
923,1765,3357,1758,1338
270,1963,1675,2357,1102
984,2425,4970,2497,985
781,1240,1838,1595,1252
823,1453,748,1379,1522
1128,1656,1699,997,1013
