24776,19634,24189,22390,19774
90478,84238,99133,81764,84148
256780,228006,190956,220005,195048
432457,330305,329336,343535,371364
762726,542537,565759,521457,533905
926595,798151,809077,812977,762497
1065890,1095323,1038901,1098477,1088378
1428725,1402002,1436409,1420128,1494463
1892152,1795906,1884456,1832256,1833542
2292904,2331507,2279499,2188230,2266091
2638480,2775498,2802345,2668575,2747012
3234708,3217302,3350481,3219044,3363780
3798859,3806389,3705842,3862265,3912052
4421954,4524995,4538347,4386287,4457818
