1,2,2,2,1,2,1,1,1,1
15,19,16,17,30,21,19,10,11,12
39,8,32,32,163,53,83,16,20,17
22,23,34,34,33,36,35,17,21,32
28,51,19,59,13,23,68,14,37,13
49,35,46,37,88,50,64,39,30,30
44,45,77,112,35,51,35,33,84,64
45,46,68,44,46,94,45,34,78,83
60,31,35,64,52,27,83,19,269,36
42,99,65,71,64,42,38,49,307,148
71,73,16,182,88,55,58,52,24,29
71,84,113,65,138,63,58,44,96,57
60,115,22,61,42,35,48,30,61,80
102,131,233,70,62,122,70,64,83,50
74,81,67,71,25,30,54,35,25,87
74,96,110,85,76,129,87,82,93,94
78,271,73,107,38,91,101,38,70,96
152,92,106,141,103,78,118,71,151,84
81,107,127,146,22,94,111,91,182,63
362,199,133,102,98,97,108,84,145,102
102,111,80,68,88,36,77,41,100,78
135,199,386,325,106,106,111,63,90,198
111,260,42,91,99,110,109,56,54,58
103,206,276,103,101,115,135,110,109,103
80,99,276,114,122,60,100,118,97,49
101,95,158,111,122,157,101,120,122,183
33,51,298,128,127,248,126,141,65,51
148,132,132,114,165,135,155,132,118,126
223,148,89,67,92,212,55,139,67,113
197,182,178,292,102,459,108,140,108,119
252,156,39,152,146,425,147,184,72,170
308,187,165,146,548,322,154,221,146,149
142,92,151,146,585,147,76,177,75,181
337,133,147,117,418,210,117,135,155,139
79,239,224,167,96,229,145,72,40,40
157,248,240,213,885,184,146,146,156,175
176,117,138,171,235,143,113,79,77,175
262,217,197,276,276,306,128,119,154,184
46,66,191,177,133,234,79,174,176,98
419,203,192,208,557,217,230,191,180,181
389,107,82,99,171,103,309,98,189,242
332,155,154,167,495,231,201,164,213,137
459,337,225,174,311,213,238,255,38,106
426,205,172,188,386,664,208,270,189,172
657,203,296,136,157,241,234,412,234,85
458,218,370,377,361,221,253,171,313,134
293,113,138,348,76,350,234,218,217,225
295,250,308,293,360,232,263,540,228,217
186,139,358,285,146,104,135,152,240,117
277,328,321,337,354,250,182,192,199,307
477,326,398,297,483,237,62,134,61,50
345,326,383,418,322,222,244,284,222,233
141,276,599,313,357,239,193,192,160,159
352,206,541,630,270,247,163,260,256,258
157,394,912,32,371,130,36,106,53,131
328,365,528,483,551,372,305,265,276,249
626,149,158,401,235,367,717,130,106,225
276,318,411,506,356,718,591,336,195,222
178,70,233,179,365,650,110,356,70,142
316,240,422,517,518,825,504,374,286,329
152,163,187,163,576,565,443,351,185,143
413,955,313,419,383,278,372,231,221,294
224,605,513,200,400,191,363,299,74,112
473,954,369,654,718,446,401,303,372,346
280,152,308,211,285,191,341,154,234,151
306,299,490,272,490,271,315,291,234,237
381,333,108,112,293,219,173,314,533,150
433,919,394,305,311,732,365,346,298,316
218,552,121,310,306,150,201,321,157,121
218,495,244,343,560,408,286,342,314,258
54,247,42,346,556,233,173,317,145,179
338,849,320,402,581,463,465,323,355,316
372,429,258,147,276,289,169,156,177,385
